wine_tube_id,id,ts_sum_id,micro_id,year,tank,tank_letter,tank_letter,brix,hr,rootstock,ava_id,ava,nutristart,dap,initial_brix,initial_ph,initial_TA,initial_nopa,initial_nh3,initial_yan,initial_tso2,initial_MA,lon,lat,total_gdd_c,total_gdd_f,total_ppt
17-1-1,2017_AS1_1_1,2017_AS1_1,2017_AS1_A,2017,1,A,a,22.6,16.58,101_14,AS1,AS,no,no,23.1,3.58,5.92,227,179,370.2,NA,3739,0,0,1467.999997,2642.399994,262.7349945
17-1-2,2017_AS1_1_2,2017_AS1_1,2017_AS1_A,2017,1,A,a,13,42.33,101_14,AS1,AS,no,no,23.1,3.58,5.92,227,179,370.2,NA,3739,0,0,1467.999997,2642.399994,262.7349945
17-1-3,2017_AS1_1_3,2017_AS1_1,2017_AS1_A,2017,1,A,a,4.1,64.5,101_14,AS1,AS,no,no,23.1,3.58,5.92,227,179,370.2,NA,3739,0,0,1467.999997,2642.399994,262.7349945
17-1-4,2017_AS1_1_4,2017_AS1_1,2017_AS1_A,2017,1,A,a,-1.4,87.91,101_14,AS1,AS,no,no,23.1,3.58,5.92,227,179,370.2,NA,3739,0,0,1467.999997,2642.399994,262.7349945
17-4-1,2017_AS1_4_1,2017_AS1_4,2017_AS1_D,2017,4,D,d,22.7,16.58,101_14,AS1,AS,no,no,23.2,3.58,6.07,221,179,364.2,12.89,3862,0,0,1467.999997,2642.399994,262.7349945
17-4-2,2017_AS1_4_2,2017_AS1_4,2017_AS1_D,2017,4,D,d,13.1,42.33,101_14,AS1,AS,no,no,23.2,3.58,6.07,221,179,364.2,12.89,3862,0,0,1467.999997,2642.399994,262.7349945
17-4-3,2017_AS1_4_3,2017_AS1_4,2017_AS1_D,2017,4,D,d,4.1,64.5,101_14,AS1,AS,no,no,23.2,3.58,6.07,221,179,364.2,12.89,3862,0,0,1467.999997,2642.399994,262.7349945
17-4-4,2017_AS1_4_4,2017_AS1_4,2017_AS1_D,2017,4,D,d,-1.2,87.91,101_14,AS1,AS,no,no,23.2,3.58,6.07,221,179,364.2,12.89,3862,0,0,1467.999997,2642.399994,262.7349945
17-5-1,2017_AS2_5_1,2017_AS2_5,2017_AS2_A,2017,5,A,a,22.4,16.58,101_14,AS2,AS,no,no,22.9,3.59,5.34,208,172,345.6,NA,3090,0,0,1614.722497,2906.500494,361.6759927
17-5-2,2017_AS2_5_2,2017_AS2_5,2017_AS2_A,2017,5,A,a,13.2,42,101_14,AS2,AS,no,no,22.9,3.59,5.34,208,172,345.6,NA,3090,0,0,1614.722497,2906.500494,361.6759927
17-5-3,2017_AS2_5_3,2017_AS2_5,2017_AS2_A,2017,5,A,a,3.5,64,101_14,AS2,AS,no,no,22.9,3.59,5.34,208,172,345.6,NA,3090,0,0,1614.722497,2906.500494,361.6759927
17-5-4,2017_AS2_5_4,2017_AS2_5,2017_AS2_A,2017,5,A,a,-1,87.5,101_14,AS2,AS,no,no,22.9,3.59,5.34,208,172,345.6,NA,3090,0,0,1614.722497,2906.500494,361.6759927
17-6-1,2017_AS2_6_1,2017_AS2_6,2017_AS2_B,2017,6,B,b,22.7,16.58,101_14,AS2,AS,no,no,23,3.6,5.21,206,175,346,10.18,3116,0,0,1614.722497,2906.500494,361.6759927
17-6-2,2017_AS2_6_2,2017_AS2_6,2017_AS2_B,2017,6,B,b,13.7,42,101_14,AS2,AS,no,no,23,3.6,5.21,206,175,346,10.18,3116,0,0,1614.722497,2906.500494,361.6759927
17-6-3,2017_AS2_6_3,2017_AS2_6,2017_AS2_B,2017,6,B,b,3.2,64,101_14,AS2,AS,no,no,23,3.6,5.21,206,175,346,10.18,3116,0,0,1614.722497,2906.500494,361.6759927
17-6-4,2017_AS2_6_4,2017_AS2_6,2017_AS2_B,2017,6,B,b,-1.1,87.5,101_14,AS2,AS,no,no,23,3.6,5.21,206,175,346,10.18,3116,0,0,1614.722497,2906.500494,361.6759927
17-9-1,2017_SNC2_9_1,2017_SNC2_9,2017_SNC2_A,2017,9,A,a,23,17.75,101_14,SNC2,SNC,no,no,23.4,3.45,5.45,138,71,194.8,NA,2431,0,0,1427.948502,2570.307304,793.9129868
17-9-2,2017_SNC2_9_2,2017_SNC2_9,2017_SNC2_A,2017,9,A,a,16.6,45.5,101_14,SNC2,SNC,yes,yes,23.4,3.45,5.45,138,71,194.8,NA,2431,0,0,1427.948502,2570.307304,793.9129868
17-9-3,2017_SNC2_9_3,2017_SNC2_9,2017_SNC2_A,2017,9,A,a,9.1,75.08,101_14,SNC2,SNC,yes,yes,23.4,3.45,5.45,138,71,194.8,NA,2431,0,0,1427.948502,2570.307304,793.9129868
17-9-4,2017_SNC2_9_4,2017_SNC2_9,2017_SNC2_A,2017,9,A,a,2.6,102.83,101_14,SNC2,SNC,yes,yes,23.4,3.45,5.45,138,71,194.8,NA,2431,0,0,1427.948502,2570.307304,793.9129868
17-9-5,2017_SNC2_9_5,2017_SNC2_9,2017_SNC2_A,2017,9,A,a,-1,131,101_14,SNC2,SNC,yes,yes,23.4,3.45,5.45,138,71,194.8,NA,2431,0,0,1427.948502,2570.307304,793.9129868
17-12-1,2017_SNC2_12_1,2017_SNC2_12,2017_SNC2_D,2017,12,D,d,22.8,17.75,101_14,SNC2,SNC,no,no,23.4,3.4,5.55,132,72,189.6,0,2202,0,0,1427.948502,2570.307304,793.9129868
17-12-2,2017_SNC2_12_2,2017_SNC2_12,2017_SNC2_D,2017,12,D,d,16.6,45.5,101_14,SNC2,SNC,yes,yes,23.4,3.4,5.55,132,72,189.6,0,2202,0,0,1427.948502,2570.307304,793.9129868
17-12-3,2017_SNC2_12_3,2017_SNC2_12,2017_SNC2_D,2017,12,D,d,8.7,75.08,101_14,SNC2,SNC,yes,yes,23.4,3.4,5.55,132,72,189.6,0,2202,0,0,1427.948502,2570.307304,793.9129868
17-12-4,2017_SNC2_12_4,2017_SNC2_12,2017_SNC2_D,2017,12,D,d,2.6,102.83,101_14,SNC2,SNC,yes,yes,23.4,3.4,5.55,132,72,189.6,0,2202,0,0,1427.948502,2570.307304,793.9129868
17-12-5,2017_SNC2_12_5,2017_SNC2_12,2017_SNC2_D,2017,12,D,d,-1.1,131,101_14,SNC2,SNC,yes,yes,23.4,3.4,5.55,132,72,189.6,0,2202,0,0,1427.948502,2570.307304,793.9129868
17-13-1,2017_CRN1_13_1,2017_CRN1_13,2017_CRN1_A,2017,13,A,a,23.7,17.67,101_14,CRN1,CRN,no,no,25.2,3.71,4.91,135,59,182.2,NA,1944,0,0,1298.347496,2337.025493,779.6230134
17-13-2,2017_CRN1_13_2,2017_CRN1_13,2017_CRN1_A,2017,13,A,a,17.2,45.33,101_14,CRN1,CRN,yes,yes,25.2,3.71,4.91,135,59,182.2,NA,1944,0,0,1298.347496,2337.025493,779.6230134
17-13-3,2017_CRN1_13_3,2017_CRN1_13,2017_CRN1_A,2017,13,A,a,8.6,74.58,101_14,CRN1,CRN,yes,yes,25.2,3.71,4.91,135,59,182.2,NA,1944,0,0,1298.347496,2337.025493,779.6230134
17-13-4,2017_CRN1_13_4,2017_CRN1_13,2017_CRN1_A,2017,13,A,a,2.6,104.5,101_14,CRN1,CRN,yes,yes,25.2,3.71,4.91,135,59,182.2,NA,1944,0,0,1298.347496,2337.025493,779.6230134
17-13-5,2017_CRN1_13_5,2017_CRN1_13,2017_CRN1_A,2017,13,A,a,-0.6,132.67,101_14,CRN1,CRN,yes,yes,25.2,3.71,4.91,135,59,182.2,NA,1944,0,0,1298.347496,2337.025493,779.6230134
17-16-1,2017_CRN1_16_1,2017_CRN1_16,2017_CRN1_D,2017,16,D,d,23.6,17.67,101_14,CRN1,CRN,no,no,25.1,3.73,5,170,74,229.2,4.02,2228,0,0,1298.347496,2337.025493,779.6230134
17-16-2,2017_CRN1_16_2,2017_CRN1_16,2017_CRN1_D,2017,16,D,d,17,45.33,101_14,CRN1,CRN,yes,yes,25.1,3.73,5,170,74,229.2,4.02,2228,0,0,1298.347496,2337.025493,779.6230134
17-16-3,2017_CRN1_16_3,2017_CRN1_16,2017_CRN1_D,2017,16,D,d,9,74.58,101_14,CRN1,CRN,yes,yes,25.1,3.73,5,170,74,229.2,4.02,2228,0,0,1298.347496,2337.025493,779.6230134
17-16-4,2017_CRN1_16_4,2017_CRN1_16,2017_CRN1_D,2017,16,D,d,2.1,104.5,101_14,CRN1,CRN,yes,yes,25.1,3.73,5,170,74,229.2,4.02,2228,0,0,1298.347496,2337.025493,779.6230134
17-16-5,2017_CRN1_16_5,2017_CRN1_16,2017_CRN1_D,2017,16,D,d,-0.8,132.67,101_14,CRN1,CRN,yes,yes,25.1,3.73,5,170,74,229.2,4.02,2228,0,0,1298.347496,2337.025493,779.6230134
17-19-1,2017_SMV1_19_1,2017_SMV1_19,2017_SMV1_C,2017,19,C,c,22.5,16.17,101_14,SMV1,SMV,no,no,23.8,3.71,5.2,243,99,322.2,NA,1870,0,0,1450.261,2610.469801,503.4419975
17-19-2,2017_SMV1_19_2,2017_SMV1_19,2017_SMV1_C,2017,19,C,c,13.9,39.42,101_14,SMV1,SMV,no,no,23.8,3.71,5.2,243,99,322.2,NA,1870,0,0,1450.261,2610.469801,503.4419975
17-19-3,2017_SMV1_19_3,2017_SMV1_19,2017_SMV1_C,2017,19,C,c,4,63.75,101_14,SMV1,SMV,no,no,23.8,3.71,5.2,243,99,322.2,NA,1870,0,0,1450.261,2610.469801,503.4419975
17-19-4,2017_SMV1_19_4,2017_SMV1_19,2017_SMV1_C,2017,19,C,c,-0.6,87.75,101_14,SMV1,SMV,no,no,23.8,3.71,5.2,243,99,322.2,NA,1870,0,0,1450.261,2610.469801,503.4419975
17-19-5,2017_SMV1_19_5,2017_SMV1_19,2017_SMV1_C,2017,19,C,c,-1.1,111.5,101_14,SMV1,SMV,no,no,23.8,3.71,5.2,243,99,322.2,NA,1870,0,0,1450.261,2610.469801,503.4419975
17-20-1,2017_SMV1_20_1,2017_SMV1_20,2017_SMV1_D,2017,20,D,d,22.6,16.17,101_14,SMV1,SMV,no,no,23.7,3.69,5.2,240,97,317.6,17.76,1873,0,0,1450.261,2610.469801,503.4419975
17-20-2,2017_SMV1_20_2,2017_SMV1_20,2017_SMV1_D,2017,20,D,d,14.1,39.42,101_14,SMV1,SMV,no,no,23.7,3.69,5.2,240,97,317.6,17.76,1873,0,0,1450.261,2610.469801,503.4419975
17-20-3,2017_SMV1_20_3,2017_SMV1_20,2017_SMV1_D,2017,20,D,d,4.8,63.75,101_14,SMV1,SMV,no,no,23.7,3.69,5.2,240,97,317.6,17.76,1873,0,0,1450.261,2610.469801,503.4419975
17-20-4,2017_SMV1_20_4,2017_SMV1_20,2017_SMV1_D,2017,20,D,d,-0.6,87.75,101_14,SMV1,SMV,no,no,23.7,3.69,5.2,240,97,317.6,17.76,1873,0,0,1450.261,2610.469801,503.4419975
17-20-5,2017_SMV1_20_5,2017_SMV1_20,2017_SMV1_D,2017,20,D,d,-0.8,111.5,101_14,SMV1,SMV,no,no,23.7,3.69,5.2,240,97,317.6,17.76,1873,0,0,1450.261,2610.469801,503.4419975
17-22-1,2017_SMV2_22_1,2017_SMV2_22,2017_SMV2_B,2017,22,B,b,21.8,16.17,101_14,SMV2,SMV,no,no,23.2,3.59,5.08,108,124,207.2,14.01,1907,0,0,1549.493507,2789.088313,468.2490053
17-22-2,2017_SMV2_22_2,2017_SMV2_22,2017_SMV2_B,2017,22,B,b,14.6,39.5,101_14,SMV2,SMV,yes,yes,23.2,3.59,5.08,108,124,207.2,14.01,1907,0,0,1549.493507,2789.088313,468.2490053
17-22-3,2017_SMV2_22_3,2017_SMV2_22,2017_SMV2_B,2017,22,B,b,7.2,64,101_14,SMV2,SMV,yes,yes,23.2,3.59,5.08,108,124,207.2,14.01,1907,0,0,1549.493507,2789.088313,468.2490053
17-22-4,2017_SMV2_22_4,2017_SMV2_22,2017_SMV2_B,2017,22,B,b,-0.1,87.83,101_14,SMV2,SMV,yes,yes,23.2,3.59,5.08,108,124,207.2,14.01,1907,0,0,1549.493507,2789.088313,468.2490053
